Iteration,Objective_Loss
1,0.5000000000000001
2,0.44538307550336353
3,0.3310117431582656
4,0.32864385228515425
5,0.3228813449399916
6,0.32232826834034534
7,0.3221240594289436
8,0.32206145172608036
9,0.32201823919584044
10,0.3218776114397986
11,0.32186198355248313
12,0.32184692762995026
13,0.32184102723509467
14,0.3218308767772577
15,0.3218275295472561
16,0.32182543216368353
17,0.32182419902763604
18,0.3218196721506423
19,0.3218182737179035
20,0.3218145393541587
21,0.321812959924566
22,0.3218105088043163
23,0.32180920861026246
24,0.321807720349828
25,0.3218069637546685
26,0.3218053603685537
27,0.3218050217341641
28,0.32180389648316154
29,0.321803527189312
30,0.32180268436984444
31,0.3218021874267382
32,0.3218014297090785
33,0.32180106083287
34,0.32180052689332656
35,0.32180014908903387
36,0.32179981801033447
37,0.3217994578989911
38,0.32179915942448206
39,0.3217988525024529
40,0.32179846661987704
41,0.3217982694372904
42,0.3217975946210027
43,0.3217974583031931
44,0.3217970088240958
45,0.32179588956236693
46,0.3217940855443817
47,0.3217936694313575
48,0.3217925740382223
49,0.3217902296474919
50,0.32178981823224784
51,0.3217888434884382
