Iteration,Objective_Loss
1,0.4999999999999999
2,0.39960169967968584
3,0.11702357856044403
4,0.10951808405891715
5,0.09746628277753182
6,0.09690416491245624
7,0.09679169390033232
8,0.09673745380535195
9,0.09670812805194656
10,0.09667983675911129
11,0.09667345149215406
12,0.09665401554074628
13,0.09664869984121167
14,0.0966309418313636
15,0.09662803355987365
16,0.09662033228118817
17,0.09661640150431083
18,0.09661173088332602
19,0.09660869206963624
20,0.09660624205693595
21,0.09660433138558458
22,0.09660205922854001
23,0.0966013798095294
24,0.09659965181828083
25,0.0965988026841563
26,0.09659817263537067
27,0.09659768647861208
28,0.0965955960456561
29,0.09659406246310547
30,0.09659171436033236
31,0.09658117500726557
32,0.09658052954931866
33,0.09658031731423294
34,0.09658023535008202
35,0.09658009492674495
36,0.09658007052151207
37,0.09657997068461709
38,0.09657995834589411
39,0.09657989072086391
40,0.09657974486483024
41,0.09657971224606673
42,0.09657969655149155
43,0.09657967421698994
44,0.09657965899500442
45,0.0965796382013209
46,0.09657963324666209
47,0.09657957627517029
48,0.09657955196502317
49,0.09657950281278722
50,0.09657946565435968
51,0.09657938685362605
